Internal IT Services,Request creation or update of IT Document,"Request creation of new IT Document (policy/procedure/user guide, etc.) or update of existing one",https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/348
Internal IT Services,Control Delivery,Request help with hardware delivery,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/319
DevOps services,Create GitLab Project,New GitLab Project or Repository,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/899
DevOps services,GitLab CI/CD,GitLab CI/CD help,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/900
DevOps services,GitLab Integration,Integrate with Jira Project,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/901
DevOps services,Azure Sandbox,Create Sandbox for test,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/906
DevOps services,Azure Account,Create or change Azure account for employee or client,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/905
DevOps services,Azure Access Failure,Cannot access Azure environment,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/907
DevOps services,AWS Sandbox,Create Sandbox for test,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/903
DevOps services,AWS Account,Create or change account for employee or client,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/902
DevOps services,AWS Access Failure,Cannot access AWS environment,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/904
DevOps services,Question,General DevOps Question,https://jira.ciklum.net/plugins/servlet/desk/portal/20/create/916
